key,source,Translation
Key,Rando02_RAW-0000-Alta,
English_US,"Hello, welcome to {{Wanderstop}}. It's a tea shop.",
Description,,
French,"Bonjour, bienvenue chez {{Wanderstop}}. C'est un salon de thé.",
Italian,"Un cordiale benvenuto a {{Wanderstop}}, la bottega del tè.",
German,"Hallo, willkommen bei {{Wanderstop}}. Ein Teeladen.",
Spanish_Spain,Te doy la bienvenida a {{Wanderstop}}. Es una tienda de té.,
Spanish_LATAM,"¡Hola! Esto es {{Wanderstop}}, una tienda de té.",
Korean,{{Wanderstop}}에 오신 것을 환영합니다. 여긴 찻집이에요.,
Russian,,
Japanese,ティーハウス、{{ワンダーストップ}}へようこそ。,
Portuguese_Brazil,"Olá, boas-vindas à {{Wanderstop}}. É uma casa de chá.",
Chinese_Simplified,你好，欢迎光临{{Wanderstop}}。这里是家茶馆。,
Chinese_Traditional,你好，歡迎來到{{Wanderstop}}。這是一間茶屋。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Rando02_RAW-0001-Customer,
English_US,Hm.,
Description,,
French,Hum…,
Italian,Hm.,
German,Mh.,
Spanish_Spain,Mmm.,
Spanish_LATAM,Mmm...,
Korean,흠.,
Russian,,
Japanese,ふむ。,
Portuguese_Brazil,Hm.,
Chinese_Simplified,嗯。,
Chinese_Traditional,嗯。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Rando02_RAW-0002-Alta,
English_US,Do you want tea?,
Description,,
French,Tu veux du thé ?,
Italian,Vuoi del tè?,
German,Möchtest du Tee?,
Spanish_Spain,¿Quieres té?,
Spanish_LATAM,¿Quieres té?,
Korean,차 드릴까요?,
Russian,,
Japanese,お茶はどうだい？,
Portuguese_Brazil,Você quer chá?,
Chinese_Simplified,您要茶吗？,
Chinese_Traditional,你想喝茶嗎？,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Rando02_RAW-0003-Customer,
English_US,Tea? Hm.,
Description,,
French,Du thé ? Hum…,
Italian,Tè? Hm.,
German,Tee? Mh.,
Spanish_Spain,¿Té? Mmm.,
Spanish_LATAM,¿Té? Mmm...,
Korean,차? 흠.,
Russian,,
Japanese,お茶？ ふむ…,
Portuguese_Brazil,Chá? Hm.,
Chinese_Simplified,茶？嗯。,
Chinese_Traditional,茶？嗯。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Rando02_RAW-0004-Customer,
English_US,No. Not feeling very good. Just want to sit down.,
Description,,
French,"Non. Je ne me sens pas très bien. Je veux juste m'asseoir.",
Italian,No. Non mi sento molto bene. Voglio solo sedermi.,
German,"Nein. Mir geht's nicht so gut. Will mich nur hinsetzen.",
Spanish_Spain,No. No me encuentro muy bien. Solo quiero sentarme.,
Spanish_LATAM,No. No me siento muy bien. Quiero sentarme nada más.,
Korean,아뇨. 몸이 좀 안 좋아서요. 그냥 앉아서 쉬겠습니다.,
Russian,,
Japanese,いや、少し具合が悪くてね。座って休みたいだけだ。,
Portuguese_Brazil,Não. Não estou me sentindo muito bem. Só quero sentar.,
Chinese_Simplified,不了。我感觉有点不舒服。现在只想坐会儿。,
Chinese_Traditional,不了。不是很舒服。只想坐下。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Rando02_RAW-0005-Alta,
English_US,"Okay, sure.",
Description,,
French,"OK, pas de souci.",
Italian,Ma certo.,
German,"Okay, klar.",
Spanish_Spain,"Sí, claro.",
Spanish_LATAM,"Sí, está bien.",
Korean,"네, 그러세요.",
Russian,,
Japanese,そうか、わかった。,
Portuguese_Brazil,"Sim, claro.",
Chinese_Simplified,好的。,
Chinese_Traditional,好啊，沒問題。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Rando02_RAW-0006-Customer,
English_US,"You said tea, before.",
Description,,
French,Tu as parlé de thé.,
Italian,"Hai detto tè, prima?",
German,Du hast was von Tee gesagt.,
Spanish_Spain,Antes has dicho té.,
Spanish_LATAM,Dijiste «té» antes.,
Korean,아까 차라고 하셨나요.,
Russian,,
Japanese,あんた、お茶と言ったね。,
Portuguese_Brazil,Você disse chá antes.,
Chinese_Simplified,你之前说有茶。,
Chinese_Traditional,你剛才提到茶。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Rando02_RAW-0007-Alta,
English_US,"Yes, this is a tea shop.",
Description,,
French,"Oui, c'est un salon de thé.",
Italian,"Sì, questa è una bottega del tè.",
German,"Ja, das hier ist ein Teeladen.",
Spanish_Spain,"Sí, esto es una tienda de té.",
Spanish_LATAM,"Sí, esto es una tienda de té.",
Korean,"네, 여긴 찻집이에요.",
Russian,,
Japanese,ああ、ここはティーハウスだ。,
Portuguese_Brazil,"Sim, essa é uma casa de chá.",
Chinese_Simplified,是的，毕竟这里是茶馆。,
Chinese_Traditional,對，這是一間茶屋。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Rando02_RAW-0008-Customer,
English_US,...,
Description,,
French,…,
Italian,...,
German,…,
Spanish_Spain,...,
Spanish_LATAM,...,
Korean,...,
Russian,,
Japanese,…,
Portuguese_Brazil,...,
Chinese_Simplified,……,
Chinese_Traditional,……,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Rando02_RAW-0009-Alta,
English_US,Do you need something?,
Description,,
French,Il te faut quelque chose ?,
Italian,Hai bisogno di qualcosa?,
German,Brauchst du was?,
Spanish_Spain,¿Necesitas algo?,
Spanish_LATAM,¿Necesitas algo?,
Korean,필요한 게 있나요?,
Russian,,
Japanese,何か飲む？,
Portuguese_Brazil,Você precisa de alguma coisa?,
Chinese_Simplified,您想喝点什么吗？,
Chinese_Traditional,你需要什麼嗎？,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Rando02_RAW-0010-Customer,
English_US,I am not feeling very good.,
Description,,
French,Je ne me sens pas très bien.,
Italian,Non mi sento molto bene.,
German,"Mir geht's nicht so gut.",
Spanish_Spain,No me encuentro muy bien.,
Spanish_LATAM,No me siento muy bien.,
Korean,몸이 좀 안 좋습니다.,
Russian,,
Japanese,少し具合が悪いんだ。,
Portuguese_Brazil,Não estou me sentindo bem.,
Chinese_Simplified,我感觉有点不舒服。,
Chinese_Traditional,我不太舒服。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Rando02_RAW-0011-Customer,
English_US,"For a long time now, a pain in my chest.",
Description,,
French,"Ça fait un moment, une douleur dans la poitrine.",
Italian,Da molto tempo ormai provo un dolore al petto.,
German,Schon lange. Schmerzen in der Brust.,
Spanish_Spain,Desde hace mucho tiempo me duele el pecho.,
Spanish_LATAM,Me duele el pecho. Hace bastante.,
Korean,가슴 통증이 오래 가시질 않네요.,
Russian,,
Japanese,もう長いこと、胸の痛みがあってね。,
Portuguese_Brazil,Há muito tempo já. Uma dor no peito.,
Chinese_Simplified,胸口疼了好久。,
Chinese_Traditional,已經很久了，胸痛。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Rando02_RAW-0012-Customer,
English_US,Something to relieve the pain. Perhaps.,
Description,,
French,Peut-être quelque chose pour soulager la douleur.,
Italian,Qualcosa per alleviare il dolore… magari?,
German,"Etwas, um die Schmerzen zu lindern. Vielleicht.",
Spanish_Spain,Algo para aliviar el dolor. Tal vez.,
Spanish_LATAM,Algo para aliviar el dolor. Quizás.,
Korean,통증을 줄여주는 것. 그걸로 주세요.,
Russian,,
Japanese,痛みを和らげるお茶がいいかもな。,
Portuguese_Brazil,Alguma coisa pra aliviar a dor. Talvez.,
Chinese_Simplified,来点缓解胸痛的东西吧。可以吗？,
Chinese_Traditional,緩解胸痛的東西。之類的。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Rando02_RAW-0013-Alta,
English_US,Is that what you want? Tea to help with your pain?,
Description,,
French,"C'est ce que tu veux ? Du thé pour te soulager ?",
Italian,È questo ciò che vuoi? Un tè per alleviare il dolore?,
German,"Ist es das, was du möchtest? Tee, der gegen die Schmerzen hilft?",
Spanish_Spain,¿Es eso lo que quieres? ¿Té para ayudarte con el dolor?,
Spanish_LATAM,¿Eso es lo que quieres? ¿Té para ayudarte con el dolor?,
Korean,"주문하신 건가요? 그럼, 통증에 도움이 되는 차로?",
Russian,,
Japanese,それが注文？ 痛みに効くお茶だって？,
Portuguese_Brazil,É isso que você quer? Chá pra ajudar com a sua dor?,
Chinese_Simplified,这样啊？您想要能缓解疼痛的茶？,
Chinese_Traditional,這樣啊？你想要緩解胸痛的茶？,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Rando02_RAW-0014-Customer,
English_US,If you have it.,
Description,,
French,Si tu en as.,
Italian,"Se ce l'hai.",
German,Wenn du welchen hast.,
Spanish_Spain,Si lo tienes.,
Spanish_LATAM,Si tienes algo así...,
Korean,그런 게 있다면요.,
Russian,,
Japanese,もしあればね。,
Portuguese_Brazil,Se você tiver.,
Chinese_Simplified,如果有的话。,
Chinese_Traditional,如果有的話。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Rando02_RAW-0015-Alta,
English_US,"I'll take a look.",
Description,,
French,Je vais voir ça.,
Italian,Adesso controllo.,
German,Ich schaue mal.,
Spanish_Spain,Voy a echar un vistazo.,
Spanish_LATAM,Voy a fijarme.,
Korean,확인해 볼게요.,
Russian,,
Japanese,ちょっと見てみるよ。,
Portuguese_Brazil,Vou dar uma olhada.,
Chinese_Simplified,我这就去找找。,
Chinese_Traditional,我會去找看看。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Rando02_RAW-0016-Customer,
English_US,...,
Description,,
French,…,
Italian,...,
German,…,
Spanish_Spain,...,
Spanish_LATAM,...,
Korean,...,
Russian,,
Japanese,…,
Portuguese_Brazil,...,
Chinese_Simplified,……,
Chinese_Traditional,……,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Rando02_RAW-0017-Alta,
English_US,Something else?,
Description,,
French,Autre chose ?,
Italian,"Nient'altro?",
German,Etwas anderes?,
Spanish_Spain,¿Algo más?,
Spanish_LATAM,¿Algo más?,
Korean,또 필요한 게 있나요?,
Russian,,
Japanese,他にも何か？,
Portuguese_Brazil,Mais alguma coisa?,
Chinese_Simplified,还要别的吗？,
Chinese_Traditional,還需要其他東西嗎？,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Rando02_RAW-0018-Customer,
English_US,The mind. It focuses only on the pain.,
Description,,
French,"L'esprit… il ne se concentre que sur la douleur.",
Italian,La mente. È concentrata sul dolore.,
German,Der Verstand. Er konzentriert sich nur auf den Schmerz.,
Spanish_Spain,La mente. Se centra solo en el dolor.,
Spanish_LATAM,La mente. Se concentra solo en el dolor.,
Korean,주의가... 자꾸 통증에 쏠리는군요.,
Russian,,
Japanese,痛みが頭から離れないんだ。,
Portuguese_Brazil,Minha mente. Ela foca somente na dor.,
Chinese_Simplified,我的注意力。我满脑子只想着疼。,
Chinese_Traditional,我的意識，一直被疼痛影響。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Rando02_RAW-0019-Customer,
English_US,Can the tea give my mind another thing to think of?,
Description,,
French,Le thé pourrait me faire penser à autre chose ?,
Italian,Esiste un tè che può distrarre la mia mente dal dolore?,
German,"Macht der Tee, dass mein Verstand sich auf etwas anderes konzentriert?",
Spanish_Spain,¿Puede el té darle a mi mente otra cosa en qué pensar?,
Spanish_LATAM,¿Puede el té darle a mi mente otra cosa en qué pensar?,
Korean,주의를 돌려주는 차도 있습니까?,
Russian,,
Japanese,お茶で気を紛らわせることはできるかい？,
Portuguese_Brazil,O chá pode dar pra minha mente outra coisa pra pensar?,
Chinese_Simplified,喝茶能够让我想点别的东西吗？,
Chinese_Traditional,茶能夠幫助我轉移注意力嗎？,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Rando02_RAW-0020-Customer,
English_US,"Something to think of, other than pain.",
Description,,
French,"Un truc auquel penser, autre chose que la douleur.",
Italian,Qualcosa a cui pensare al posto del dolore.,
German,"Etwas anderes als den Schmerz, an das ich denken kann.",
Spanish_Spain,Algo en qué pensar además del dolor.,
Spanish_LATAM,Algo en qué pensar además del dolor.,
Korean,통증 말고 다른 생각을 하게 해주는 것이요.,
Russian,,
Japanese,痛み以外のことを考えたいんだ。,
Portuguese_Brazil,"Alguma coisa pra pensar, que não seja dor.",
Chinese_Simplified,只要不是疼痛就好。,
Chinese_Traditional,思考疼痛以外的事物。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Rando02_RAW-0021-Alta,
English_US,"I'll do my best.",
Description,,
French,Je vais faire au mieux.,
Italian,Farò del mio meglio.,
German,Ich tu‘ mein Bestes.,
Spanish_Spain,Haré lo que pueda.,
Spanish_LATAM,Haré lo que pueda.,
Korean,찾아볼게요.,
Russian,,
Japanese,やってみるよ。,
Portuguese_Brazil,Farei o melhor possível.,
Chinese_Simplified,我尽量试试。,
Chinese_Traditional,我會盡力的。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Rando02_RAW-0022-Alta,
English_US,Here you go.,
Description,,
French,Et voilà !,
Italian,Ecco qui.,
German,Bitte sehr.,
Spanish_Spain,Aquí tienes.,
Spanish_LATAM,Aquí tienes.,
Korean,나왔습니다.,
Russian,,
Japanese,さあ、どうぞ。,
Portuguese_Brazil,Aqui está.,
Chinese_Simplified,请用。,
Chinese_Traditional,給你。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Rando02_RAW-0023-Customer,
English_US,Okay.,
Description,,
French,OK.,
Italian,Grazie.,
German,Okay.,
Spanish_Spain,Vale.,
Spanish_LATAM,Bien.,
Korean,네.,
Russian,,
Japanese,どうも。,
Portuguese_Brazil,Tá bem.,
Chinese_Simplified,好的。,
Chinese_Traditional,好喔。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Rando02_RAW-0024-Customer,
English_US,Hmm.,
Description,,
French,Hum…,
Italian,Hmm.,
German,Mmh.,
Spanish_Spain,Mmm.,
Spanish_LATAM,Mmm...,
Korean,흐음.,
Russian,,
Japanese,ふむ。,
Portuguese_Brazil,Hmm.,
Chinese_Simplified,唔。,
Chinese_Traditional,嗯。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Rando02_RAW-0025-Customer,
English_US,This tea is cold. It is not good to drink cold.,
Description,,
French,"Ce thé est froid. Ce n'est pas bon froid.",
Italian,Questo tè è freddo. Non è buono freddo.,
German,Dieser Tee ist kalt. Kalt kann man ihn nicht trinken.,
Spanish_Spain,Este té está frío. No es bueno beber las cosas frías.,
Spanish_LATAM,Este té está frío. No es bueno beber las cosas frías.,
Korean,이 차는 차갑군요. 차게 마시면 안 좋아요.,
Russian,,
Japanese,お茶が冷たいな。冷たいのは体に良くない。,
Portuguese_Brazil,Esse chá está frio. Não é bom beber frio.,
Chinese_Simplified,茶是冷的。喝冷的可不好。,
Chinese_Traditional,這杯茶是冷的。喝冷飲不好。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Rando02_RAW-0026-Alta,
English_US,"Okay, I'll remake it using more heat.",
Description,,
French,"OK, je vais le refaire en plus chaud.",
Italian,"Va bene, lo rifarò usando acqua più calda.",
German,"Gut, ich mache ihn noch mal mit mehr Hitze.",
Spanish_Spain,"Vale, lo volveré a preparar calentándolo más.",
Spanish_LATAM,"Bien, te preparo otro y lo caliento más esta vez.",
Korean,"네, 따뜻하게 다시 만들어올게요.",
Russian,,
Japanese,わかった。もっと熱くして淹れ直すよ。,
Portuguese_Brazil,"Certo, vou refazer ele usando mais calor.",
Chinese_Simplified,好的，那我再做杯热的。,
Chinese_Traditional,好，我會重做一杯熱的。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Rando02_RAW-0027-Customer,
English_US,Hmm.,
Description,,
French,Hum…,
Italian,Hmm.,
German,Mmh.,
Spanish_Spain,Mmm.,
Spanish_LATAM,Mmm...,
Korean,흐음.,
Russian,,
Japanese,ふむ。,
Portuguese_Brazil,Hmm.,
Chinese_Simplified,唔。,
Chinese_Traditional,嗯。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Rando02_RAW-0028-Customer,
English_US,There is no tea in this. It does not have tea leaves.,
Description,,
French,"Il n'y a pas de thé là-dedans. Il n'y a aucune feuille de thé.",
Italian,Ma questo non è tè. Non ci sono foglie di tè.,
German,Hier ist gar kein Tee drin. Da fehlen die Teeblätter.,
Spanish_Spain,Esto no tiene té. No hay hojas de té.,
Spanish_LATAM,Esto no tiene té. No tiene hojas de té.,
Korean,차를 넣지 않았군요. 찻잎이 안 들어갔어요.,
Russian,,
Japanese,これはお茶じゃないな。茶葉が入ってない。,
Portuguese_Brazil,Não tem chá aqui. Não tem folhas de chá.,
Chinese_Simplified,这不是茶吧。里面没茶叶。,
Chinese_Traditional,這杯飲品不是茶。它沒有茶葉。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Rando02_RAW-0029-Alta,
English_US,"Oh, my mistake. I'll go remake it.",
Description,,
French,"Oh, je me suis trompée. Je vais le refaire.",
Italian,"Oh, ho sbagliato. Lo andrò a rifare.",
German,"Oh, mein Fehler. Ich mach ihn noch mal.",
Spanish_Spain,"Oh, qué fallo. Lo volveré a hacer.",
Spanish_LATAM,"Uy, perdón. Te preparo otro.",
Korean,"이런, 실수였어요. 다시 만들어올게요.",
Russian,,
Japanese,おっと、私のミスだ。淹れ直すよ。,
Portuguese_Brazil,"Ah, erro meu. Vou refazer.",
Chinese_Simplified,哎呀，摆了个乌龙。我去重做一杯。,
Chinese_Traditional,噢，我的錯。我會重做一杯。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Rando02_RAW-0030-Alta,
English_US,Did it help with the pain?,
Description,,
French,Ça soulage la douleur ?,
Italian,Ti ha aiutato con il dolore?,
German,Hat er gegen die Schmerzen geholfen?,
Spanish_Spain,¿Te ha ayudado con el dolor?,
Spanish_LATAM,¿Te ayudó con el dolor?,
Korean,통증에 도움이 됐나요?,
Russian,,
Japanese,痛みは和らいだ？,
Portuguese_Brazil,Ajudou com a dor?,
Chinese_Simplified,这茶让疼痛好受些了吗？,
Chinese_Traditional,這杯茶有舒緩疼痛嗎？,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Rando02_RAW-0031-Customer,
English_US,...,
Description,,
French,…,
Italian,...,
German,…,
Spanish_Spain,...,
Spanish_LATAM,...,
Korean,...,
Russian,,
Japanese,…,
Portuguese_Brazil,...,
Chinese_Simplified,……,
Chinese_Traditional,……,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Rando02_RAW-0032-Customer,
English_US,...yes. There is a calming in my chest.,
Description,,
French,… oui. Je sens que ma poitrine va mieux.,
Italian,… Sì. Provo una sensazione di calma nel petto.,
German,… Ja. Meine Brust beruhigt sich.,
Spanish_Spain,Sí... Me ha calmado el pecho.,
Spanish_LATAM,Sí... Hay calma en mi pecho.,
Korean,...네. 가슴이 진정되는 느낌입니다.,
Russian,,
Japanese,…ああ。胸がすっとしてきた。,
Portuguese_Brazil,Sim. Meu peito está se acalmando.,
Chinese_Simplified,……是的。我的胸口舒服多了。,
Chinese_Traditional,……。我的胸口舒服多了。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Rando02_RAW-0033-Customer,
English_US,The pain is quieting.,
Description,,
French,"La douleur s'apaise.",
Italian,Il dolore si sta calmando.,
German,Der Schmerz ebbt ab.,
Spanish_Spain,El dolor se está calmando.,
Spanish_LATAM,El dolor se está calmando.,
Korean,통증이 가라앉고 있어요.,
Russian,,
Japanese,痛みがマシになったよ。,
Portuguese_Brazil,A dor está diminuindo.,
Chinese_Simplified,疼痛感也减轻了。,
Chinese_Traditional,疼痛減輕了。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Rando02_RAW-0034-Customer,
English_US,"Not gone, never fully gone. Just a little quieter.",
Description,,
French,"La douleur n'est pas partie, pas complètement. Mais c'est un peu mieux.",
Italian,Non è passato completamente. È solo meno forte.,
German,"Noch nicht weg, nie ganz weg. Nur etwas sachter.",
Spanish_Spain,"No se ha ido, nunca se ha ido del todo. Pero me duele un poco menos.",
Spanish_LATAM,No se va. Nunca se va del todo. Pero me duele un poco menos.,
Korean,사라지진 않아요. 원래 그래요. 그래도 좀 낫네요.,
Russian,,
Japanese,完全に消えはしないが、少しだけラクだ。,
Portuguese_Brazil,"Não desapareceu, nunca desaparece totalmente. Só um pouco mais silenciosa.",
Chinese_Simplified,疼还是疼，不能完全止痛。只是好受了些。,
Chinese_Traditional,沒有完全消失，從來不會完全消失。只是減輕一點。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Rando02_RAW-0035-Customer,
English_US,Yes. This is good.,
Description,,
French,"Oui, ça fait du bien.",
Italian,Sì. Così è buono.,
German,Ja. Das ist gut.,
Spanish_Spain,Sí. Bien.,
Spanish_LATAM,Sí. Esto está bien.,
Korean,음. 좋군요.,
Russian,,
Japanese,ああ、これはいい。,
Portuguese_Brazil,Sim. Isso é bom.,
Chinese_Simplified,不错。感觉很好。,
Chinese_Traditional,是的。很好。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Rando02_RAW-0036-Customer,
English_US,Thank you.,
Description,,
French,Merci.,
Italian,Grazie.,
German,Danke.,
Spanish_Spain,Gracias.,
Spanish_LATAM,Gracias.,
Korean,감사합니다.,
Russian,,
Japanese,ありがとう。,
Portuguese_Brazil,Agradeço.,
Chinese_Simplified,谢谢你。,
Chinese_Traditional,謝謝你。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Rando02_RAW-0037-Alta,
English_US,What about taking your mind off the pain?,
Description,,
French,Et si tu chassais la douleur de ton esprit ?,
Italian,E per quanto riguarda il distrarre la mente dal dolore?,
German,Und bist du vom Schmerz abgelenkt?,
Spanish_Spain,¿Qué tal si dejas de pensar en el dolor?,
Spanish_LATAM,¿Qué tal si dejas de pensar en el dolor?,
Korean,통증에서 주의를 돌리는 건요?,
Russian,,
Japanese,気を紛らわせるほうは、どう？,
Portuguese_Brazil,E tirou a sua mente da dor?,
Chinese_Simplified,现在不会老想着疼了吧？,
Chinese_Traditional,那有沒有成功轉移注意力？,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Rando02_RAW-0038-Customer,
English_US,Hmm.,
Description,,
French,Hum…,
Italian,Hmm.,
German,Mmh.,
Spanish_Spain,Mmm.,
Spanish_LATAM,Mmm...,
Korean,흐음.,
Russian,,
Japanese,ふむ。,
Portuguese_Brazil,Hmm.,
Chinese_Simplified,唔。,
