Key,CloudKid_RAW-0000-Customer,
English_US,"Привет! Ну что, ну что, разве ЭТО не приятное зрелище?",
Description,"""Hoy there"" is just a very casual sort of greeting",
French,Salut la compagnie ! Alors si ça c'est pas joli à voir !,
Italian,"Ehilà! Bene, bene, ma guarda che bel posticino.",
German,"Ahoi! Na, na, wenn DAS kein willkommener Anblick ist.",
Spanish_Spain,"¡Hola, hola! Vaya, qué vista tan agradable.",
Spanish_LATAM,"¡Hola, bola! Pero miren nada más, qué vista TAN agradable.",
Korean,헤이 이봐요! 이거 완전 반가운 광경이네.,
Russian,"Hoy there! Well now, well now, ain't THIS a welcome sight.",
Japanese,よう、そこのあんた！ へえ、嬉しいね。こんな所に人がいるとは。,
Portuguese_Brazil,"Oie! Mas olha só, olha só, que visão acolhedora.",
Chinese_Simplified,哟，你好呀！哇哇哇，你这里可真漂亮啊。,
Chinese_Traditional,你好咧！好、好、好，真是個賞心悅目的地方啊。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,CloudKid_RAW-0001-Customer,
English_US,"Что за магазинчик у вас тут? Теперь, конечно, выглядит именно так.",
Description,"""Ya"" is slang for ""you""",
French,"C'est un genre de boutique que tu as là ? En tout cas, ça y ressemble diablement.",
Italian,È una specie di negozio? Almeno così sembra.,
German,Hast du hier einen Laden gefunden? Sieht auf jeden Fall so aus.,
Spanish_Spain,"¡Qué pedazo tienda que tienes! Sí, chaval.",
Spanish_LATAM,¿Esto es una tienda o algo? A mí me late que sí.,
Korean,무슨 가게 하시나 봐요? 그렇게 보이는데요.,
Russian,Some kinda shop ya got here? Sure looks that way now.,
Japanese,なんか店でもやってるの？ てか、どう見てもそうだよな。,
Portuguese_Brazil,É algum tipo de loja que você tem aqui? Parece muito.,
Chinese_Simplified,你竟然在这里开了家店？看起来有模有样的。,
Chinese_Traditional,這是一家店嗎？看起來有模有樣的。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,CloudKid_RAW-0002-Choice,
English_US,"Я, э-э... завариваю чай. Подаю чай.",
Description,,
French,Je… euh… je sers du thé.,
Italian,"Io, uh... tè. Vendo il tè.",
German,"Ich, äh …Tee. Serviere Tee.",
Spanish_Spain,"Yo, eh... té. Sirvo té.",
Spanish_LATAM,"Sí, eh... Té. Sirvo el té.",
Korean,"아, 음... 차요. 찻집이요.",
Russian,"I, uh... tea. Serve tea.",
Japanese,私は…その…お茶だ、お茶を出してる。,
Portuguese_Brazil,"Eu, ahm... chá. Sirvo chá.",
Chinese_Simplified,我，呃……茶。我们有茶。,
Chinese_Traditional,我，呃……茶，我們有茶。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,CloudKid_RAW-0003-Choice,
English_US,"Она сказала, что я..... не контролирую себя...",
Description,,
French,Elle a dit que… que je ne me contrôle plus…,
Italian,Ha detto che... ho perso il controllo di me stessa...,
German,"Sie sagte, ich … hätte nicht die Kontrolle …",
Spanish_Spain,Dijo que no... que no tengo el control...,
Spanish_LATAM,Dijo que no... Que no tengo el control...,
Korean,내게... 통제력이 없다고 하셨어...,
Russian,She said I'm... not in control...,
Japanese,彼女が言ったんだ。私は…自制心がないと…,
Portuguese_Brazil,Ela disse que eu não... estou no controle...,
Chinese_Simplified,她说我……控制不了自己……,
Chinese_Traditional,她說我…無法掌控自己……,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,CloudKid_RAW-0004-Choice,
English_US,[ничего не говорю],
Description,,
French,[ne rien dire],
Italian,[rimani in silenzio],
German,[Sag nichts.],
Spanish_Spain,[No decir nada],
Spanish_LATAM,[No decir nada],
Korean,[아무 말하지 않기],
Russian,[say nothing],
Japanese,[何も言わない],
Portuguese_Brazil,[não dizer nada],
Chinese_Simplified,[不说话],
Chinese_Traditional,[什麼都不說],
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,CloudKid_RAW-0005-Customer,
English_US,"Чайный магазин! Ну разве это не счастье? Я, конечно, выпью чашечку, да.",
Description,From [0002-Choice],
French,Un salon de thé ! Quelle bénédiction ! J'en prendrais bien une tasse !,
Italian,"Una sala da tè! Che benedizione! Ne prenderò sicuramente una tazza, sì.",
German,"Ein Teeladen! Na, wenn das kein Segen ist! Ich nehm ganz sicher eine Tasse, ja.",
Spanish_Spain,"¡Una tienda de té! ¡Qué suerte tengo, chaval! Sí, me tomaré una taza.",
Spanish_LATAM,"¡Una tienda de té! ¡Qué suerte que tengo, maestro! Sí, claro que me voy a tomar una taza.",
Korean,찻집이라! 듣던 중 반가운 소리네요! 한잔 마실게요.,
Russian,"A tea shop! Well ain't that just a blessin'! I'll surely have a cup, yah.",
Japanese,ティーハウスか！ こいつはツイてる！ じゃあ、お茶を1杯もらうよ。,
Portuguese_Brazil,"Uma casa de chá! Mas que grande bênção! Eu adoraria uma xícara, aham.",
Chinese_Simplified,一间茶馆！那可太好了！俺可要喝上一杯。,
Chinese_Traditional,茶屋耶！真是太讚了！我一定要來一杯。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,CloudKid_RAW-0006-Choice,
English_US,"Я, э-э, да... чашку чая... это же магазин.",
Description,,
French,Je… euh… oui… une tasse de thé… c'est un salon.,
Italian,Io... sì... una tazza di tè... è un negozio.,
German,"Ich, äh, ja … Tasse Tee … ist ein Laden.",
Spanish_Spain,"Eh, sí... una taza de té... Es una tienda.",
Spanish_LATAM,"Eh, sí... Una taza de té... Es una tienda.",
Korean,"아, 음... 차 한잔... 여긴 가게예요.",
Russian,"I, uh, yeah... cup of tea... it's a shop.",
Japanese,私は…ああ…お茶を1杯…ここは店だ。,
Portuguese_Brazil,"Eu, ahm, tá... xícara de chá... é uma loja.",
Chinese_Simplified,我，呃，好……一杯茶……这里是茶馆。,
Chinese_Traditional,我，呃，對…一杯茶……這是茶屋。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,CloudKid_RAW-0007-Choice,
English_US,"..просто напал на нее, просто так, без причины...",
Description,,
French,"… attaquée, comme ça, sans raison…",
Italian,"… L’ho aggredita, così, senza motivo…",
German,"…hab sie einfach angegriffen, ohne Grund …",
Spanish_Spain,"La ataqué, así sin más, sin ningún motivo...",
Spanish_LATAM,"La ataqué, así sin más, sin motivo alguno...",
Korean,...그분을 공격했어. 아무런 이유도 없이...,
Russian,"...just attacked her, just like that, for no reason...",
Japanese,彼女を…攻撃したんだ…突然、何の理由もなく…,
Portuguese_Brazil,"Ataquei ela, assim, sem motivo...",
Chinese_Simplified,……就那样，不知怎么就攻击了她……,
Chinese_Traditional,…攻擊了她，就這樣，毫無來由……,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,CloudKid_RAW-0008-Choice,
English_US,[ничего не говорю],
Description,"If you select this dialogue choice, it will cause the player character to say nothing in response. The brackets are indicating that this is an action, not spoken words.",
French,[ne rien dire],
Italian,[rimani in silenzio],
German,[Sag nichts.],
Spanish_Spain,[No decir nada],
Spanish_LATAM,[No decir nada],
Korean,[아무 말하지 않기],
Russian,[say nothing],
Japanese,[何も言わない],
Portuguese_Brazil,[não dizer nada],
Chinese_Simplified,[不说话],
Chinese_Traditional,[什麼都不說],
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,CloudKid_RAW-0009-Customer,
English_US,"Ой? Кто это, собственно, такой?",
Description,From [0003-Choice],
French,"Ah, oui ? Et qui ça exactement ?",
Italian,Oh? Di chi stai parlando nello specifico?,
German,Oh? Wen meinst du genau?,
Spanish_Spain,¿Eh? ¿Quién eres exactamente?,
Spanish_LATAM,¿Eh? ¿Quién eres? ¿Me dices?,
Korean,엥? 누가 뭐라고 했다고요?,
Russian,"Oh? Who's this exactly, now?",
Japanese,ん？ 彼女って誰のこと？,
Portuguese_Brazil,É? Quem é essa pessoa exatamente?,
Chinese_Simplified,哦？在说谁呢？,
Chinese_Traditional,噢？你在說誰啊？,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,CloudKid_RAW-0010-Choice,
English_US,"..только что напал на нее, просто так, без причины...",
Description,,
French,"… attaquée, comme ça, sans raison…",
Italian,"… L’ho aggredita, così, senza motivo…",
German,"…hab sie einfach angegriffen, ohne Grund …",
Spanish_Spain,"La ataqué, así sin más, sin ningún motivo...",
Spanish_LATAM,"La ataqué, así sin más, sin motivo alguno...",
Korean,...그분을 공격했어. 아무런 이유도 없이...,
Russian,"...just attacked her, just like that, for no reason...",
Japanese,彼女を…攻撃したんだ…突然、何の理由もなく…,
Portuguese_Brazil,"Ataquei ela, assim, sem motivo...",
Chinese_Simplified,……就那样，不知怎么就攻击了她……,
Chinese_Traditional,…攻擊了她，就這樣，毫無來由……,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,CloudKid_RAW-0011-Choice,
English_US,[ничего не говори],
Description,,
French,[ne rien dire],
Italian,[rimani in silenzio],
German,[Sag nichts.],
Spanish_Spain,[No decir nada],
Spanish_LATAM,[No decir nada],
Korean,[아무 말하지 않기],
Russian,[say nothing],
Japanese,[何も言わない],
Portuguese_Brazil,[não dizer nada],
Chinese_Simplified,[不说话],
Chinese_Traditional,[什麼都不說],
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,CloudKid_RAW-0012-Customer,
English_US,"Ну, э-э-э... Ты в порядке, друг? Кажется, ты немного... не в себе?",
Description,"""erhm"" is just a stuttering word, like ""uh""<lf>From [0004-Choice]<lf>From [0006-Choice]<lf>From [0008-Choice]<lf>From [0011-Choice]<lf>From [0020-Choice]",
French,"Bien, euh… ça va, l'amie ? Tu m'as l'air un peu… euh… déphasée ?",
Italian,"Ecco, uh... stai bene? Sembri un po'... uh... fuori fase…",
German,"Nun, ähm … Bist du okay? Du wirkst etwas, äh …neben der Spur?",
Spanish_Spain,"Bueno, eh... ¿Estás bien, colega? Pareces un poquito, eh... ¿trastornada?",
Spanish_LATAM,"Bueno, eh... ¿Estás bien, amiguita? Pareces un poquito... ¿trastornada?",
Korean,"에, 저기... 괜찮아요, 그쪽? 어딘가 좀... 정상이 아닌데?",
Russian,"Well, erhm... Are ya okay, friend? Ya seem a little, uh... off?",
Japanese,ええと、あのさ…あんた、大丈夫？ ちょっと…イッちゃってる？,
Portuguese_Brazil,"Bem, ahm... Você tá bem, amiga? Parece um pouco... desorientada?",
Chinese_Simplified,好吧，呃……你还好吧，朋友？你看起来有点，呃……心不在焉？,
Chinese_Traditional,好喔，呃…朋友，你還好嗎？你看起來……不太對勁？,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,CloudKid_RAW-0013-Choice,
English_US,Да. Знаешь. Только.,
Description,,
French,"Oui, ah… tu sais… c'est juste que…",
Italian,"Sì, ah... sai... è solo...",
German,Ja. Weißt du. Nur.,
Spanish_Spain,Sí. Bueno. Un poco.,
Spanish_LATAM,Sí. Bueno. Un poco.,
Korean,네. 뭐. 그냥 좀.,
Russian,Yeah. Y'know. Just.,
Japanese,ああ、いや、ただ…,
Portuguese_Brazil,Sim. Sabe. Um pouco.,
Chinese_Simplified,嗯。别介意。是有点。,
Chinese_Traditional,對，你知道的，就是。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,CloudKid_RAW-0014-Choice,
English_US,[ничего не говори],
Description,,
French,[ne rien dire],
Italian,[rimani in silenzio],
German,[Sag nichts.],
Spanish_Spain,[No decir nada],
Spanish_LATAM,[No decir nada],
Korean,[아무 말하지 않기],
Russian,[say nothing],
Japanese,[何も言わない],
Portuguese_Brazil,[não dizer nada],
Chinese_Simplified,[不说话],
Chinese_Traditional,[什麼都不說],
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,CloudKid_RAW-0015-Customer,
English_US,...гм...,
Description,From [0013-Choice]<lf>From [0014-Choice],
French,… hum…,
Italian,… ehmm...,
German,…Äh …,
Spanish_Spain,Eh...,
Spanish_LATAM,Eh...,
Korean,...음...,
Russian,...um...,
Japanese,…はぁ…,
Portuguese_Brazil,Hm...,
Chinese_Simplified,……呃……,
Chinese_Traditional,……呃……,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,CloudKid_RAW-0016-Customer,
English_US,"Вот что я тебе скажу, не волнуйся за меня! Все хорошо!",
Description,"""Don'tcha"" is slang for ""don't you""",
French,"Écoute, t'inquiète pas pour moi ! Tout va bien !",
Italian,"Tranquilla, non preoccuparti per me! È tutto a posto!",
German,Weißt du was? Mach dir keine Sorgen um mich! Alles in Ordnung!,
Spanish_Spain,"¡Te digo una cosa, no te preocupes por mí! ¡Todo va dabuti!",
Spanish_LATAM,¿Te digo algo? ¡No te hagas drama! ¡Está todo bien!,
Korean,"저기, 난 그냥 알아서 할게요! 문제없어요!",
Russian,"Tell ya what, don'tcha worry about me! All's good!",
Japanese,じゃあさ、お茶はもういいよ！ 気にしないで！,
Portuguese_Brazil,"Olha só, não se preocupa comigo! Tá tudo bem!",
Chinese_Simplified,听我说，不用管俺！不碍事！,
Chinese_Traditional,這樣吧，你別擔心我！都沒事！,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,CloudKid_RAW-0017-Customer,
English_US,"Я просто буду рядом, да? Просто побуду прямо здесь, да.",
Description,,
French,"Je reste dans le coin, OK ? Je serai juste là, ouais !",
Italian,"Sono nei paraggi, va bene? Non vado da nessuna parte!",
German,"Ich mach einfach mal weiter, ja? Ich bin dann hier drüben, jup.",
Spanish_Spain,"Estaré por aquí, ¿vale? Solo estaré por aquí, sí.",
Spanish_LATAM,"Voy a dar una vueltita por el lugar, ¿sí? Voy a estar por aquí. Eso.",
Korean,"여기 어디 있을게요, 알았죠? 이쪽에 있을 테니 걱정하지 말아요.",
Russian,"I'll just be around, yah? Just be right over here, yep.",
Japanese,オレはブラブラしてるし。その辺にいるからさ。うん。,
Portuguese_Brazil,"Vou ficar aqui perto? Vou ficar bem aqui, aham.",
Chinese_Simplified,俺就到处逛逛，可以吧？就去那边吧，不错。,
Chinese_Traditional,我就在附近晃晃，好嗎？就在那邊 ，對。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,CloudKid_RAW-0018-Customer,
English_US,"Ты, эээ, напал на кого-то? Хех, должно быть, это был кто-то очень плохой!",
Description,From [0007-Choice]<lf>From [0010-Choice],
French,"Tu as… euh… attaqué quelqu'un ? Ah, c'était sûrement un méchant !",
Italian,"Tu… ehm… hai aggredito qualcuno? Ah, deve essere stato davvero cattivo!",
German,"Du, äh, hast jemanden angegriffen? He, muss jemand echt Fieses gewesen sein!",
Spanish_Spain,"Eh... ¿has atacado a alguien? ¡Ja, tiene que haber sido alguien muy malote!",
Spanish_LATAM,¿Atacaste a alguien? ¡Ja! ¡Tiene que haber sido alguien bien malote!,
Korean,"에, 그러니까 누굴 공격했다고요? 하, 진짜 나쁜 놈이었나 보네!",
Russian,"You, erhm, attacked somebody? Heh, musta been someone real bad!",
Japanese,あんたが…誰かを攻撃したって？ ヘヘ、そりゃ相当悪いヤツなんだろうな！,
Portuguese_Brazil,"Você, ahm, atacou alguém? Heh, devia ser uma pessoa bem ruim!",
Chinese_Simplified,你啥？打了人？呵，那人肯定是个大坏蛋！,
Chinese_Traditional,你，呃，攻擊了某人？呵，一定是個大壞蛋！,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,CloudKid_RAW-0019-Choice,
English_US,"Заткнись! Ты понятия не имеешь, о чем говоришь!",
Description,,
French,La ferme ! Tu ne sais pas de quoi tu parles !,
Italian,Stai zitto! Non hai la minima idea di cosa sto parlando!,
German,"Sei still, du! Du hast keine Ahnung, was du da sagst!",
Spanish_Spain,¡Cállate! ¡No tienes idea de lo que estás hablando!,
Spanish_LATAM,¡Cállate! ¡No tienes ni idea de lo que estás diciendo!,
Korean,닥쳐! 그분에 대해서 뭘 안다고!,
Russian,You shut up! You have no idea what you're talking about!,
Japanese,黙れ！ 知ったような口を利くな！,
Portuguese_Brazil,Cala a boca! Você não faz ideia do que está falando!,
Chinese_Simplified,闭嘴！你真是张口就来！,
Chinese_Traditional,你閉嘴！你不知道自己在說什麼！,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,CloudKid_RAW-0020-Choice,
English_US,[ничего не говори],
Description,,
French,[ne rien dire],
Italian,[rimani in silenzio],
German,[Sag nichts.],
Spanish_Spain,[No decir nada],
Spanish_LATAM,[No decir nada],
Korean,[아무 말하지 않기],
Russian,[say nothing],
Japanese,[何も言わない],
Portuguese_Brazil,[não dizer nada],
Chinese_Simplified,[不说话],
Chinese_Traditional,[什麼都不說],
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,CloudKid_RAW-0021-Alta,
English_US,"Она пыталась сказать мне что-то ВАЖНОЕ, а я все испортил!",
Description,From [0019-Choice],
French,Elle essayait de me dire quelque chose d'important et j'ai tout détruit !,
Italian,Stava cercando di dirmi qualcosa di IMPORTANTE e io ho rovinato TUTTO!,
German,"Sie wollte mir was WICHTIGES sagen, und ich hab ALLES kaputtgemacht!",
Spanish_Spain,¡Estaba tratando de decirme algo importante y lo he destruido todo!,
Spanish_LATAM,¡Estaba tratando de decirme algo IMPORTANTE y lo destruí TODO!,
Korean,"그분은 중요한 이야기를 하려 했는데, 내가 다 망쳐버렸다고!",
Russian,She was trying to tell me something IMPORTANT and I destroyed ALL of it!,
Japanese,彼女は大事なことを伝えようとしたのに、私が何もかもぶち壊したんだ！,
Portuguese_Brazil,Ela estava tentando me dizer algo IMPORTANTE e eu destruí TUDO!,
Chinese_Simplified,她本来有要事相告，可我把局面弄得一发不可收拾！,
Chinese_Traditional,她本來想跟我講一件重要的事，但我搞砸了！,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,CloudKid_RAW-0022-Customer,
English_US,"Ого, дружище, я ничего такого не имел в виду! Я.....",
Description,,
French,"Waouh, eh, l'amie… je ne voulais rien dire du tout, euh…",
Italian,"Ehi amica, non ti innervosire, non volevo offenderti! Io...",
German,"Wow, warte, ich hab's nicht böse gemeint! Ich, äh …",
Spanish_Spain,"¡Tranqui, colega, no quería decir nada con eso! Yo, eh...",
Spanish_LATAM,"¡Serena, morena! ¡No quise alterarte ni nada! Digo, eh...",
Korean,"어이쿠, 이봐요. 별 뜻 없이 한 말이에요! 난 그냥...",
Russian,"Woah there friend, I didn't mean nothin' by it! I, uh...",
Japanese,おいおい、待てって！ オレはそんなつもりじゃ…,
Portuguese_Brazil,"Calma lá, amiga, não quis supor nada! Eu, ahm...",
Chinese_Simplified,哇，冷静，朋友，俺没想说坏话！俺，呃……,
Chinese_Traditional,朋友，冷靜點，我沒有惡意！我，呃……,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,CloudKid_RAW-0023-Customer,
English_US,"Знаешь, я просто побуду здесь, ладно? Не беспокойся обо мне, ладно? Попался.",
Description,bout is short for about,
French,"Tu sais quoi ? Je bouge pas d'ici, OK ? Te fais pas de bile pour moi, d'accord ?",
Italian,"Sai una cosa? Me ne starò buono senza darti fastidio, va bene? Non preoccuparti per me.",
German,"Weißt du was, ich warte einfach hier drüben, okay? Mach dir keinen Kopf um mich, ja? Alles klar.",
Spanish_Spain,"Estaré por aquí, ¿vale? No te preocupes por mí, ¿vale? Te entiendo.",
Spanish_LATAM,"Voy a estar por aquí, ¿sí? No te preocupes por mí, ¿eh? Todo bien.",
Korean,"자, 난 그냥 이쪽에 있을게요, 알았죠? 신경 쓰지 말고요, 오케이? 됐어요.",
Russian,"Y'know, I'll just be over here, kay? Don't worry 'bout me none, yah? Gotcha.",
Japanese,なあ、オレ、その辺をブラブラしてるよ。だから気にしないでくれ。じゃあな？,
Portuguese_Brazil,"Olha só, eu vou ficar ali, tá? Não esquenta comigo, tá? Já saquei.",
Chinese_Simplified,俺就到那边逛逛，可以吗？不用管俺啊。拜拜。,
Chinese_Traditional,這樣吧，我就待在那裡，可以嗎？別擔心我，好吼？沒事的。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,CloudKid_RAW-0024-Alta,
English_US,Что тебе надо?,
Description,,
French,Qu'est-ce que tu veux ?,
Italian,Cosa vuoi?,
German,Was möchtest du?,
Spanish_Spain,¿Qué quieres?,
Spanish_LATAM,¿Qué quieres?,
Korean,뭘 드릴까요?,
Russian,What do you want?,
Japanese,何かいるか？,
Portuguese_Brazil,O que você quer?,
Chinese_Simplified,你想要什么？,
Chinese_Traditional,你想要什麼？,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,CloudKid_RAW-0025-Customer,
English_US,............,
Description,,
French,............,
Italian,............,
German,............,
Spanish_Spain,............,
Spanish_LATAM,............,
Korean,............,
Russian,............,
Japanese,…………,
Portuguese_Brazil,............,
Chinese_Simplified,............,
Chinese_Traditional,............,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,CloudKid_RAW-0026-Alta,
English_US,О!,
Description,,
French,Oh !,
Italian,Oh!,
German,Oh!,
Spanish_Spain,¡Ah!,
Spanish_LATAM,¡Ah!,
Korean,아!,
Russian,Oh!,
Japanese,そんな！,
Portuguese_Brazil,Ah!,
Chinese_Simplified,哦！,
Chinese_Traditional,噢！,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,CloudKid_RAW-0027-Customer,
English_US,............,
Description,,
French,............,
Italian,............,
German,............,
Spanish_Spain,............,
Spanish_LATAM,............,
Korean,............,
Russian,............,
Japanese,…………,
Portuguese_Brazil,............,
Chinese_Simplified,............,
Chinese_Traditional,............,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,CloudKid_RAW-0028-Alta,
English_US,"Ну, э-э...",
Description,,
French,"Eh bien, euh…",
Italian,"Ecco, uh...",
German,"Nun, äh …",
Spanish_Spain,"Bueno, eh…",
Spanish_LATAM,"Bueno, eh…",
Korean,"저기, 이봐요...",
Russian,"Well, uh...",
Japanese,なあ、ちょっと…,
Portuguese_Brazil,"Bem, ahm...",
Chinese_Simplified,好吧，呃……,
Chinese_Traditional,好吧，呃……,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,CloudKid_RAW-0029-Customer,
English_US,............,
Description,,
French,............,
Italian,............,
German,............,
Spanish_Spain,............,
Spanish_LATAM,............,
Korean,............,
Russian,............,
Japanese,…………,
Portuguese_Brazil,............,
Chinese_Simplified,............,
Chinese_Traditional,............,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
